Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,CR_PPA,CR_PPP
2011,2,관악구,11620,아파트,35890.36,73.91,492.3,148.92,247,20720.97,78.24,270.49,81.82,350,57.73,54.94,54.94
2011,2,관악구,11620,연립다세대,19911.47,55.08,362.79,109.75,170,10868.45,54.0,204.49,61.86,213,54.58,56.37,56.36
2011,2,관악구,11620,오피스텔,12363.21,23.14,555.77,168.12,53,6527.94,20.13,331.73,100.35,68,52.8,59.69,59.69
2011,2,광진구,11215,단독다가구,74985.42,221.31,360.02,108.91,36,8429.59,53.37,180.21,54.51,512,11.24,50.06,50.05
2011,2,광진구,11215,아파트,58131.92,87.5,653.8,197.78,125,28584.7,84.15,339.4,102.67,281,49.17,51.91,51.91
2011,2,광진구,11215,연립다세대,24360.66,56.1,448.56,135.69,122,12643.83,54.61,240.28,72.69,196,51.9,53.57,53.57
2011,2,광진구,11215,오피스텔,14718.18,30.67,483.8,146.35,22,15035.71,49.93,307.98,93.17,14,102.16,63.66,63.66
2011,2,구로구,11530,단독다가구,49712.5,215.91,281.31,85.1,26,5761.14,52.79,129.46,39.16,211,11.59,46.02,46.02
2011,2,구로구,11530,아파트,32624.61,73.22,448.39,135.64,355,17701.99,73.9,242.64,73.4,469,54.26,54.11,54.11
2011,2,구로구,11530,연립다세대,19442.25,54.48,357.51,108.15,142,9361.74,54.33,175.59,53.12,149,48.15,49.11,49.12
2011,2,구로구,11530,오피스텔,17425.2,47.28,383.5,116.01,70,12652.08,49.45,273.24,82.65,48,72.61,71.25,71.24
2011,2,금천구,11545,단독다가구,65609.66,234.07,307.31,92.96,29,5610.25,57.1,110.68,33.48,244,8.55,36.02,36.02
2011,2,금천구,11545,아파트,27510.32,73.5,385.34,116.57,112,14153.37,71.65,198.25,59.97,130,51.45,51.45,51.45
2011,2,금천구,11545,연립다세대,17943.07,52.31,349.94,105.86,101,9371.02,54.55,175.32,53.03,88,52.23,50.1,50.09
2011,2,금천구,11545,오피스텔,11005.56,33.7,340.25,102.92,9,7363.64,32.81,250.78,75.86,22,66.91,73.7,73.71
2011,2,노원구,11350,단독다가구,64508.55,212.79,395.25,119.56,20,5943.15,58.74,125.17,37.86,159,9.21,31.67,31.67
2011,2,노원구,11350,아파트,28604.31,63.16,447.33,135.32,580,14507.25,64.0,222.93,67.44,931,50.72,49.84,49.84
2011,2,노원구,11350,연립다세대,20445.65,59.83,325.06,98.33,46,8649.3,51.5,168.54,50.98,73,42.3,51.85,51.85
2011,2,노원구,11350,오피스텔,14973.86,42.62,356.14,107.73,44,10630.0,44.32,244.12,73.85,20,70.99,68.55,68.55
2011,2,도봉구,11320,단독다가구,42171.43,176.31,362.23,109.58,14,5480.0,59.57,108.04,32.68,180,12.99,29.83,29.82
2011,2,도봉구,11320,아파트,27084.17,67.5,398.75,120.62,276,14807.23,72.39,205.58,62.19,415,54.67,51.56,51.56
2011,2,도봉구,11320,연립다세대,15786.52,49.72,318.67,96.4,158,7811.85,50.63,154.58,46.76,135,49.48,48.51,48.51
2011,2,도봉구,11320,오피스텔,14712.5,44.93,345.82,104.61,28,7916.67,36.6,219.68,66.45,12,53.81,63.52,63.52
2011,2,동대문구,11230,단독다가구,46418.16,141.41,367.18,111.07,38,6482.64,46.23,173.66,52.53,386,13.97,47.3,47.29
2011,2,동대문구,11230,아파트,34904.62,75.57,467.4,141.39,212,19736.36,80.0,249.58,75.5,341,56.54,53.4,53.4
2011,2,동대문구,11230,연립다세대,19814.71,52.05,383.09,115.89,51,9482.95,51.62,189.73,57.39,88,47.86,49.53,49.52
2011,2,동대문구,11230,오피스텔,12262.08,32.65,386.5,116.91,53,7727.27,28.94,282.55,85.47,11,63.02,73.1,73.11
2011,2,동작구,11590,단독다가구,68117.26,181.39,415.07,125.56,35,7385.28,49.89,179.66,54.35,360,10.84,43.28,43.29
2011,2,동작구,11590,아파트,47062.04,80.47,589.68,178.38,244,24680.27,80.94,307.35,92.97,501,52.44,52.12,52.12
2011,2,동작구,11590,연립다세대,24412.85,59.46,416.17,125.89,144,12683.53,56.68,226.98,68.66,232,51.95,54.54,54.54
2011,2,동작구,11590,오피스텔,21843.75,51.47,412.36,124.74,8,12500.0,55.18,236.2,71.45,4,57.22,57.28,57.28
2011,2,마포구,11440,단독다가구,80984.5,178.7,597.58,180.77,24,8204.08,52.39,175.13,52.98,331,10.13,29.31,29.31
2011,2,마포구,11440,아파트,49018.25,77.69,633.36,191.59,222,24457.4,78.86,314.15,95.03,446,49.89,49.6,49.6
2011,2,마포구,11440,연립다세대,22941.38,49.17,497.13,150.38,87,10540.16,48.15,229.71,69.49,310,45.94,46.21,46.21
2011,2,마포구,11440,오피스텔,17710.14,36.09,497.78,150.58,74,14279.41,47.55,323.27,97.79,34,80.63,64.94,64.94
2011,2,서대문구,11410,단독다가구,34870.52,118.98,390.34,118.08,44,6687.7,46.97,160.96,48.69,252,19.18,41.24,41.23
2011,2,서대문구,11410,아파트,34983.72,76.27,469.62,142.06,188,20361.18,77.85,265.47,80.3,272,58.2,56.53,56.53
2011,2,서대문구,11410,연립다세대,19480.3,57.67,347.82,105.21,100,9526.49,52.22,189.51,57.33,168,48.9,54.49,54.49
2011,2,서대문구,11410,오피스텔,16383.87,31.9,533.27,161.32,31,10215.38,40.21,305.44,92.4,13,62.35,57.28,57.28
2011,2,서초구,11650,단독다가구,152062.5,317.74,531.45,160.76,8,11785.9,62.22,211.39,63.95,188,7.75,39.78,39.78
2011,2,서초구,11650,아파트,81939.63,89.75,902.15,272.9,315,38596.68,97.75,398.32,120.49,874,47.1,44.15,44.15
2011,2,서초구,11650,연립다세대,36205.74,59.53,633.61,191.67,61,16539.2,60.74,279.86,84.66,250,45.68,44.17,44.17
2011,2,서초구,11650,오피스텔,21309.3,36.58,584.23,176.73,86,12100.0,33.05,358.19,108.35,5,56.78,61.31,61.31
2011,2,성동구,11200,단독다가구,58168.42,141.93,516.89,156.36,19,7543.91,51.04,168.6,51.0,271,12.97,32.62,32.62
2011,2,성동구,11200,아파트,47859.67,75.84,635.32,192.19,226,23829.02,78.85,306.12,92.6,424,49.79,48.18,48.18
2011,2,성동구,11200,연립다세대,24691.18,55.18,485.57,146.88,34,10072.53,51.38,198.25,59.97,91,40.79,40.83,40.83
