학교명,학교급구분,소재지도로명주소,위도,경도,Region_Name
용마중학교,중학교,서울특별시 중랑구 면목로28길 18 (면목동. 용마중학교),37.57412795,127.0860548,중랑구
한산중학교,중학교,서울특별시 강동구 풍성로 251 (둔촌동.한산중학교),37.52844976,127.1401145,강동구
신길중학교,중학교,서울특별시 영등포구 신길로28길 43 (신길동. 신길중학교),37.50201923,126.9156513,영등포구
동신중학교,중학교,서울특별시 강동구 진황도로 72 (천호동. 동신중학교),37.53664957,127.1341222,강동구
강빛중학교,중학교,서울특별시 강동구 아리수로93다길 1 (강일동. 강빛초중통합학교),37.57457281,127.172071,강동구
염경중학교,중학교,서울특별시 강서구 양천로69길 35 (염창동.염경중학교),37.55447023,126.8706874,강서구
장충중학교,중학교,서울특별시 중구 동호로15길 93 (신당동),37.55316618,127.0062084,중구
윤중중학교,중학교,서울특별시 영등포구 여의동로3길 3 . 윤중중학교 (여의도동),37.51897848,126.923703,영등포구
영림중학교,중학교,서울특별시 구로구 가마산로27길 17 . 영림중학교 (구로동),37.49780447,126.8907765,구로구
신화중학교,중학교,서울특별시 양천구 남부순환로29길 35 . 신화중학교 (신월동),37.54061681,126.8301712,양천구
재현중학교,중학교,서울특별시 노원구 덕릉로82길 64 (중계동.재현중/고등학교),37.66126447,127.0809389,노원구
고덕중학교,중학교,서울특별시 강동구 동남로82길 94 (고덕동),37.56001314,127.1612974,강동구
